Ticker	Report Date	Shares Outstanding	Act	Est	Surp
KMX US Equity	03/29/2019 (AM)	170480000	1.13	1.026	10.07%
ACN US Equity	03/28/2019 (AM)	638639729	1.73	1.573	10.01%
LEN US Equity	03/27/2019 (AM)	321349000	0.74	0.754	-1.87%
PAYX US Equity	03/27/2019 (AM)	361600000	0.89	0.882	0.87%
PVH US Equity	03/27/2019 (PM)	76100000	1.84	1.751	5.11%
CCL US Equity	03/26/2019 (AM)	695000000	0.49	0.438	11.81%
INFO US Equity	03/26/2019 (AM)	398000000	0.329	0.566	-41.81%
MKC US Equity	03/26/2019 (AM)	133800000	1.12	1.04	7.69%
TIF US Equity	03/22/2019 (AM)	122100000	1.675	1.601	4.61%
CAG US Equity	03/21/2019 (AM)	487400000	0.51	0.488	4.62%
CTAS US Equity	03/21/2019 (PM)	108162000	1.84	1.712	7.47%
DRI US Equity	03/21/2019 (AM)	125000000	1.8	1.746	3.07%
NKE US Equity	03/21/2019 (PM)	1609600000	0.684	0.647	5.79%
GIS US Equity	03/20/2019 (AM)	604500000	0.83	0.689	20.39%
MU US Equity	03/20/2019 (PM)	1141000000	1.531	1.654	-7.44%
FDX US Equity	03/19/2019 (PM)	263000000	3.03	3.117	-2.80%
ADBE US Equity	03/14/2019 (PM)	494188000	1.294	1.616	-19.93%
AVGO US Equity	03/14/2019 (PM)	419000000	5.55	5.231	6.10%
DG US Equity	03/14/2019 (AM)	262536000	1.84	1.883	-2.30%
ORCL US Equity	03/14/2019 (PM)	3617000000	0.767	0.841	-8.76%
ULTA US Equity	03/14/2019 (PM)	59431000	3.61	3.557	1.49%
COST US Equity	03/07/2019 (PM)	442337000	2.01	1.692	18.77%
KR US Equity	03/07/2019 (AM)	806000000	0.48	0.526	-8.81%
DLTR US Equity	03/06/2019 (AM)	238900000	1.93	1.94	-0.52%
COO US Equity	03/05/2019 (PM)	49900000	2.88	2.507	14.87%
KSS US Equity	03/05/2019 (AM)	163000000	2.24	2.181	2.70%
ROST US Equity	03/05/2019 (PM)	368365000	1.199	1.131	6.03%
TGT US Equity	03/05/2019 (AM)	524300000	1.53	1.527	0.23%
CRM US Equity	03/04/2019 (PM)	786000000	0.7	0.553	26.56%
XRAY US Equity	03/01/2019 (AM)	223500000	0.58	0.537	8.02%
ADSK US Equity	02/28/2019 (PM)	221300000	0.46	0.421	9.26%
CNP US Equity	02/28/2019 (AM)	504073000	0.36	0.343	4.93%
EIX US Equity	02/28/2019 (PM)	326000000	0.94	0.955	-1.53%
GPS US Equity	02/28/2019 (PM)	383000000	0.72	0.688	4.71%
JWN US Equity	02/28/2019 (PM)	167100000	1.484	1.417	4.76%
LKQ US Equity	02/28/2019 (AM)	318510000	0.48	0.494	-2.89%
MAR US Equity	02/28/2019 (PM)	345700000	1.44	1.4	2.82%
NLSN US Equity	02/28/2019 (AM)	355199432	0.51	0.488	4.56%
AES US Equity	02/27/2019 (AM)	653846200	0.36	0.325	10.77%
AMT US Equity	02/27/2019 (AM)	444304000	2.255	2.283	-1.20%
ANSS US Equity	02/27/2019 (PM)	85472000	2.13	1.485	43.43%
APA US Equity	02/27/2019 (AM)	379000000	0.31	0.237	30.72%
BBY US Equity	02/27/2019 (AM)	273400000	2.72	2.563	6.12%
BKNG US Equity	02/27/2019 (PM)	46589000	22.49	19.388	16.00%
CPB US Equity	02/27/2019 (AM)	301000000	0.77	0.709	8.57%
HPQ US Equity	02/27/2019 (PM)	1567000000	0.52	0.517	0.60%
LB US Equity	02/27/2019 (PM)	277935000	2.14	2.081	2.84%
LOW US Equity	02/27/2019 (AM)	801000000	0.8	0.789	1.37%
MNST US Equity	02/27/2019 (PM)	556666000	0.43	0.405	6.15%
PEG US Equity	02/27/2019 (AM)	508000000	0.56	0.558	0.30%
PRGO US Equity	02/27/2019 (AM)	134900000	0.97	0.995	-2.56%
TJX US Equity	02/27/2019 (AM)	1244708000	0.676	0.683	-0.94%
UHS US Equity	02/27/2019 (PM)	92706000	2.37	2.334	1.55%
AZO US Equity	02/26/2019 (AM)	25643000	11.49	10.062	14.20%
DISCA US Equity	02/26/2019 (AM)	715000000	0.74	0.821	-9.89%
EOG US Equity	02/26/2019 (PM)	580300000	1.24	1.349	-8.07%
HD US Equity	02/26/2019 (AM)	1121000000	2.265	2.163	4.70%
M US Equity	02/26/2019 (AM)	311900000	2.73	2.53	7.91%
MYL US Equity	02/26/2019 (AM)	516500000	1.3	1.349	-3.61%
PSA US Equity	02/26/2019 (PM)	174466000	2.81	2.778	1.16%
SJM US Equity	02/26/2019 (AM)	113200000	2.26	2.014	12.21%
MOS US Equity	02/25/2019 (PM)	387600000	0.77	0.571	34.95%
OKE US Equity	02/25/2019 (PM)	415142000	0.704	0.736	-4.35%
WAB US Equity	02/25/2019 (AM)	96674000	0.97	1.018	-4.75%
COG US Equity	02/22/2019 (AM)	430978000	0.55	0.58	-5.17%
PNW US Equity	02/22/2019 (AM)	112700000	0.23	0.175	31.14%
ED US Equity	02/21/2019 (PM)	315000000	0.77	0.75	2.67%
EVRG US Equity	02/21/2019 (PM)	269330000	0.069	0.255	-73.02%
HPE US Equity	02/21/2019 (PM)	1412000000	0.42	0.348	20.81%
HRL US Equity	02/21/2019 (AM)	547118000	0.441	0.443	-0.46%
INTU US Equity	02/21/2019 (PM)	264000000	1	0.864	15.76%
